sinkhole_data
ID,Sinkhole,Land use,Substrate,DTS,DTM,HD,Depth to Bedrock,DTF,DWTSA,DTD
94,1,2,5,4535.46,34378.3,-4,-325,92834.1,1,60
95,1,2,5,2942.6,35530.3,17,-346,94623.2,1,603.738
96,1,2,5,1425.24,37086.1,17,-344,95072.5,0,755.381
97,1,1,5,2696.83,35832.6,19,-343,94561.2,1,408.044
98,1,4,2,4030.51,22148.6,-30,-274,93091.2,4,1142.37
99,1,3,5,4133.58,23757.8,-1,-272,91331.8,4,798.812
100,1,2,5,4765.09,22387,14,-267,91616.7,9,670.82
101,1,2,5,2385.33,25271.3,-24,-289,92634.7,4,1168.46
102,1,2,5,3245.69,25133.4,-13,-282,91614.6,0,502.892
103,1,2,5,3606.24,24973.2,-8,-281,91174.8,1,517.88
104,1,2,5,1435.62,27348.2,-6,-293,91499.2,6,792.591
105,1,2,5,1039.66,27352.7,-6,-299,92379.3,5,1355.65
106,1,2,5,1675.98,27513.4,-10,-288,90578.3,3,1060.24
107,1,1,5,1140.39,29783.1,6,-312,92606.4,6,1477.33
108,1,2,5,603.738,30623.5,-15,-302,91132.8,3,563.649
109,1,1,5,390,29389.9,-11,-298,90880.7,4,1740.26
110,1,2,5,2087.1,32155,-14,-305,91392.1,1,1040.1
111,1,4,5,2135.28,32314.7,-9,-299,90301.4,2,1233.29
112,1,2,5,3816.73,33795.6,-7,-314,92032.6,1,361.248
113,1,2,5,5213.62,35149.2,17,-310,90665.4,0,630
114,1,2,5,3690.12,36236.3,19,-323,92460.6,0,300
115,1,2,5,5446.63,35143.1,10,-309,90660,2,690
116,1,1,5,3326.62,4953.27,-9,-381,95573.3,4,579.396
117,1,1,5,2820.64,4115.36,-12,-381,95193.9,2,1400.71
118,1,1,5,4230.43,5307.63,-8,-397,96530.4,2,724.983
119,1,2,5,1542.01,2217.77,-16,-368,93719.5,4,2329.98
120,1,1,5,1830.98,2554.94,-17,-371,94040.9,3,2296.72
121,1,1,5,2437.58,3065.29,-15,-380,94762.3,1,2254.99
122,1,2,4,429.535,1785.19,-28,-353,91971.3,4,4261.37
123,1,5,4,2220.81,300,-20,-379,93830.9,4,4682.5
124,1,4,4,2155.2,1261.43,-19,-371,93313.2,3,5418.72
125,1,3,4,3092.77,3183.54,-16,-362,92739.2,1,4566.31
126,1,1,4,2568.46,1682.68,-17,-374,93450.6,1,5908.71
127,1,4,4,2542.75,2961.96,-15,-357,92335,1,4828.6
128,1,1,2,1447.79,4642.25,-21,-350,93545.3,4,990.454
129,1,1,4,1200,5095.14,-27,-338,92703.6,3,755.381
130,1,1,2,1441.56,6124.12,-24,-326,91936.5,2,271.662
131,1,4,4,1195.49,3813.9,-25,-333,90830.4,3,2324.76
132,1,1,4,169.706,2550,-31,-350,92016.2,3,2307.08
133,1,4,4,722.496,4942.72,-31,-332,91974,3,589.406
134,1,4,4,90,1982.04,-34,-352,91920.2,4,3376.17
135,1,1,4,509.117,2837.34,-27,-345,91626.2,4,2404.68
136,1,2,4,1210.83,3389.07,-24,-337,90889.4,5,2771.88
137,1,4,4,1359.3,3890.76,-10,-340,90863.8,4,4537.25
138,1,1,4,1100.23,3463.02,-19,-342,90971.2,5,5035.09
139,1,1,4,42.4264,3534.02,-23,-334,90343,7,5377.03
140,1,1,5,1244.55,6572.81,3,-322,89843.5,5,1863.87
141,1,4,4,684.763,4862.31,-15,-327,89845.8,5,3706.67
142,1,1,4,1317.95,5398.08,3,-330,90352.8,6,3018.69
143,1,4,5,417.852,9560.78,-3,-290,87228,0,1047.85
144,1,2,5,1406.17,8180.82,0,-306,88826.5,1,551.543
145,1,4,5,324.5,8937.03,-9,-296,87355.1,1,536.656
146,1,2,5,450.999,10045.7,-1,-288,87170.3,1,1127.3
147,1,4,5,276.586,11250,4,-280,86463,3,1537.34
148,1,2,5,60,10195.1,0,-286,86682.2,1,1660.87
149,1,3,5,755.381,12508.3,24,-275,86376.9,2,1126.1
150,1,1,5,1350,12035.5,17,-280,87023.5,3,1534.7
151,1,1,5,1170,12206.2,23,-278,86809.3,3,1412.23
152,1,1,5,1838.83,15274,39,-262,86332.1,2,524.786
153,1,3,5,845.34,15969.3,45,-261,86764.4,2,818.841
154,1,3,5,1441.25,15226.8,38,-266,87390,1,787.464
155,1,1,5,169.706,17845.4,39,-254,85928.1,23,1171.54
156,1,1,5,1124.5,16915.6,48,-255,85427,1,833.547
157,1,2,5,806.102,17962.8,41,-254,86560.2,6,1891.9
158,1,3,5,3066.02,21047.3,21,-250,85605.6,3,351.141
159,1,1,5,1458.01,19289.9,44,-250,85924.1,6,1171.54
160,1,4,5,3691.95,21403.3,18,-252,86186.2,3,391.152
161,1,1,2,4089.25,5924.91,-6,-307,91748.6,4,924.175
162,1,1,2,4621.27,6211.81,-12,-313,92630.3,5,67.082
163,1,5,2,3890.76,6207.9,-7,-308,91740.4,3,960.469
164,1,1,2,1597.06,6358.37,-21,-325,91880.2,2,127.279
165,1,1,2,1025.28,8288.37,-25,-305,89931.1,6,201.246
166,1,3,4,450,7705.33,-29,-306,89743.1,2,997.246
167,1,1,4,1528.82,6337.46,-16,-310,88991.2,4,3193.13
168,1,1,4,2194.93,5695.26,-14,-315,89076.5,3,3066.46
169,1,1,4,2096.78,6673.9,-14,-306,88366.9,2,2547
170,1,5,2,2563.2,5010.36,-8,-318,89160.8,5,3152.43
171,1,5,4,2421.65,5405.66,-13,-317,89172.8,5,3143.56
172,1,4,4,2619.64,6236.83,-10,-309,88378.9,1,2372.28
173,1,2,4,1243.1,4960.81,-10,-318,88844.3,4,4213.8
174,1,4,4,1376.41,5259.85,-10,-316,88582.7,4,4108.58
175,1,1,2,2040,6559.85,-8,-305,87355.2,4,3968.29
176,1,2,5,1233.29,7536.69,-5,-301,87430.7,5,2013.58
177,1,1,5,1681.07,7805.77,-5,-298,86988.8,5,2334.99
178,1,1,4,1753.91,6793,-15,-304,87391.2,4,3543.56
179,1,2,5,2100.86,10167.1,17,-280,85023.3,1,2973.79
180,1,2,5,2305.32,9089.16,8,-287,85636.7,5,2963.78
181,1,4,5,1224.13,8973.21,6,-290,86287.5,2,1920.94
182,1,2,5,1724.67,11766.9,20,-274,84693.4,1,2995.5
183,1,3,5,30,11141.9,4,-280,86331.5,1,1666.28
184,1,2,5,1553.64,12206.2,18,-272,84582.1,0,2479.86
185,1,2,5,670.82,14006.7,27,-264,84750.1,1,496.588
186,1,2,5,1050,13913.3,24,-263,84454,1,844.808
187,1,2,5,641.327,12751.3,21,-268,85075.2,1,1209.34
188,1,4,5,1592.26,15355,34,-260,83961.9,2,873.613
189,1,2,5,1842.01,15383.1,31,-259,83593.4,1,1318.98
190,1,4,5,2164.16,15932.8,34,-256,83522.8,2,1179.58
191,1,2,5,1567.19,18752.7,44,-247,83744.9,0,660
192,1,2,5,1697.06,17135.7,46,-253,84601.3,1,792.023
193,1,2,5,2680.76,19163.6,45,-246,82640.4,0,573.149
194,1,2,5,1832.21,19703.9,43,-246,83686.7,2,1140.39
195,1,2,5,3021.67,21154.8,42,-246,83353.5,3,725.603
196,1,2,5,2347.87,21456.5,42,-244,81894.3,2,558.032
197,1,2,5,2735.93,22411.3,41,-245,82275.4,2,550.727
198,1,3,5,2754.29,24552,23,-258,81340.2,2,1336.6
199,1,3,5,3636.07,22179,35,-247,83167.9,1,763.675
200,1,2,5,3934.12,26216.2,24,-276,80852,1,445.982
201,1,4,5,4380.41,25322.7,15,-263,82411,2,708.025
202,1,4,5,4736.01,25376.6,13,-264,82719.1,1,725.603
203,1,2,5,2871.24,26341,29,-279,81323.6,1,1008.46
204,1,2,5,2447.53,26013.3,27,-281,81039.5,1,699.714
205,1,3,5,1868.69,26823.5,27,-278,81983.4,2,1295.57
206,1,1,5,180,27156.2,4,-277,82507.8,1,958.593
207,1,1,5,30,26971.3,-7,-278,82375.3,1,1197.75
208,1,2,5,67.082,25745.1,8,-278,81124.9,3,1698.38
209,1,2,5,2512.13,25779.2,7,-277,81345,1,349.857
210,1,1,5,1386.83,25354,9,-279,80864.1,2,956.713
211,1,4,5,1758.01,25292.9,7,-279,80848.1,1,655.21
212,1,2,5,2582.79,25020.2,12,-275,80553.8,0,342.053
213,1,4,5,2248.4,24720.5,12,-276,80256.1,1,445.982
214,1,2,5,2022.72,24875.2,9,-277,80411.3,1,450
215,1,2,2,1760.82,4973.22,-26,-295,89360,5,301.496
216,1,1,2,1154.12,5676.42,-32,-293,88826.2,2,180
217,1,1,2,2928.65,6473.4,-13,-303,90552.4,4,1152.56
218,1,1,2,1710,7504.2,-24,-300,89647.6,4,510
219,1,1,2,1328.16,7238.02,-28,-292,88772.4,4,241.868
220,1,2,4,318.904,7611.37,-30,-304,89102.4,3,1542.6
221,1,1,4,1110,9178.48,-26,-291,87180.7,3,300
222,1,5,4,1867.24,7051.6,-14,-305,88245.9,5,2574.06
223,1,2,4,3195.95,8502.76,-17,-294,86433.6,1,1474.89
224,1,4,2,3360.13,9101.68,-16,-289,85773.9,2,1462.94
225,1,1,2,3278.25,7776.25,-14,-298,86936.2,1,1221.56
226,1,1,2,4078.79,6973.76,-3,-301,87037.5,4,1080.42
227,1,2,2,4796.72,9096.14,-6,-290,84740.4,2,1544.34
228,1,2,2,4301.31,7658,1,-296,86102.4,2,1518.19
229,1,2,2,4937.89,8907.98,-7,-288,84846.6,1,1936.1
230,1,3,5,4873.78,9921.84,-10,-283,83904.3,6,1682.41
231,1,2,2,4684.71,9072.36,-14,-288,84733.3,2,2160.21
232,1,4,2,4039.43,8646.77,-13,-291,85222.6,1,2925.88
233,1,2,5,3505.38,10640.6,10,-275,83561.9,1,2239.58
234,1,2,5,3208.88,11365.7,20,-272,83675.8,1,2190.21
235,1,2,5,3370.83,10802.2,14,-274,83766,1,2133.38
236,1,2,5,2565.31,12823.2,23,-267,83552,0,1997.2
237,1,2,5,3394.78,13682,23,-262,82559.5,2,1002.65
238,1,2,5,2558.63,11359.1,19,-273,84300.9,0,3179.72
239,1,4,5,2832.9,13887.3,25,-263,82931.8,1,1350.33
240,1,2,5,3886.71,14943.6,24,-259,81792.1,4,618.466
241,1,2,5,3773.45,15248.2,24,-258,81794.1,6,976.729
242,1,3,5,4017.87,16554.9,22,-255,81351.3,9,1853.21
243,1,2,5,3549.27,17043.6,24,-254,81400,9,2032.26
244,1,1,5,3228.87,16832.7,35,-253,82503.3,1,1841.77
245,1,2,5,2238.97,19838.6,41,-245,81649.7,1,757.166
246,1,1,2,1171.54,19431.4,-8,-251,79812.2,8,894.986
247,1,2,5,1092.02,20232.2,17,-246,80459.2,2,256.32
248,1,2,5,1540.55,21302.2,28,-244,81088.1,5,1072.05
249,1,3,5,189.737,21087,-13,-247,79600.9,3,699.714
250,1,2,5,1537.34,21004.6,33,-244,81074.6,4,674.166
251,1,2,5,510,23649.5,18,-255,78968.2,17,902.497
252,1,2,5,1719.45,23071.2,21,-246,81204.9,2,1500
253,1,3,5,1206.73,23897.7,26,-256,80338.2,5,2130.84
254,1,3,5,2742.01,25462.7,17,-269,80632.9,0,931.933
255,1,4,5,2550,25565.3,17,-277,79926.7,2,894.986
256,1,4,5,2421.28,25437.9,17,-278,79752.2,1,977.19
257,1,2,5,3555.35,22899.8,26,-313,77990.1,2,853.815
258,1,3,5,3355.98,24148,24,-297,79133.4,1,60
259,1,3,5,2172.05,25015.5,27,-286,80149.8,1,391.152
260,1,1,5,2566.89,22505.4,23,-300,77805.4,11,391.152
261,1,3,5,2354.76,24181.5,23,-290,79365.2,5,228.473
262,1,2,5,3153.57,23087.6,23,-304,78224.1,4,708.025
263,1,4,5,295.466,23146.7,8,-281,78693.9,2,450
264,1,1,5,216.333,22848.3,10,-283,78377.6,7,702.922
265,1,2,5,108.167,22307,12,-275,77869.4,3,391.152
266,1,2,5,2563.38,24364.7,17,-268,79921,0,379.473
267,1,4,5,2834.8,24407.7,18,-268,79920,1,379.473
268,1,3,5,2630.44,24021.7,18,-266,79560.1,2,720.625
270,1,5,2,295.466,6323.24,0,-282,87098.5,0,1132.08
271,1,1,2,375.899,5596.83,-31,-285,87605.1,2,752.396
272,1,1,2,192.094,8019.6,-29,-281,86433.6,5,842.14
273,1,1,2,234.307,7650.06,-29,-279,86277.3,3,771.298
274,1,5,2,241.868,8117.98,0,-283,86958.6,1,852.76
275,1,2,4,2779.66,9504.37,-19,-288,85758.9,1,1871.82
276,1,5,4,2696.66,10594,-22,-282,84956.6,3,1600.16
277,1,3,4,1447.79,9603.37,-25,-287,86496.9,3,540.833
278,1,4,2,2288.86,11220.6,-24,-280,83397.9,1,1472.75
279,1,4,2,3723.02,9764.02,-13,-288,84369.2,1,1462.94
280,1,2,2,3400.74,10110,-18,-284,84454.9,2,1768.22
281,1,1,2,3463.02,11129.8,-23,-281,82669.3,3,595.483
282,1,2,2,3711.4,10172.8,-14,-286,83692.3,3,1455.23
283,1,1,2,3652.25,10397.5,-16,-285,83471.5,5,1231.46
284,1,4,2,3144.28,12571.8,-23,-273,81224.7,1,2093.13
285,1,2,2,2825.26,12778.1,-21,-270,81091.2,2,2291.42
286,1,1,2,4036.09,11191.9,-19,-275,82583.9,2,1366.24
287,1,1,5,2654.45,11580.3,8,-270,82628.6,3,1437.81
288,1,5,5,724.983,13447.9,13,-257,80981.8,2,432.666
289,1,2,2,2403,12574.4,-18,-268,81408,1,1703.94
290,1,3,5,1233.29,15536.4,2,-261,79424.4,20,1826.31
291,1,3,5,1348.33,13769.3,14,-259,81330.9,10,1514.63
292,1,3,2,1899.74,15698.7,-11,-261,79553.3,22,1506.59
293,1,2,5,3597.62,17210.2,13,-263,78814.3,5,351.141
294,1,4,2,4244.44,17424.4,-9,-262,79000.3,4,706.116
295,1,2,2,4183.25,18011.2,-6,-265,78217.5,2,849.588
296,1,3,5,2190.21,18668.6,-11,-254,79825.8,14,1021.76
297,1,2,5,4027.16,18582.4,22,-263,78280.1,11,457.93
298,1,1,5,2257.19,18707.5,18,-255,79636.6,13,952.943
299,1,2,5,1218.24,20411.1,22,-255,78525.7,2,684.763
300,1,2,5,1405.84,20055.3,23,-255,78659.7,1,381.838
301,1,2,5,888.426,21201.4,23,-253,78400.9,11,692.604
302,1,2,5,323.11,21755.6,-1,-247,79127.2,10,977.19
303,1,2,5,1907.07,22791.3,40,-257,77532.8,4,680.147
304,1,2,5,1973.63,22296.6,29,-260,77362.4,9,442.945
305,1,3,5,1210.83,22810.4,27,-291,76298,8,1382.93
306,1,3,5,1214.91,23981.1,33,-273,77279.8,1,655.21
307,1,3,5,84.8528,23334.2,4,-291,77109,10,1717.35
308,1,4,5,296.985,21913.7,-1,-318,76025.5,5,1020.44
309,1,3,5,2036.47,23431.2,23,-306,77851.6,22,1406.17
310,1,4,5,330,21640.3,0,-324,75880.7,3,1187.94
311,1,3,5,1381.96,21605,32,-344,76354.5,8,150
312,1,2,5,1596.78,21205.7,42,-352,76127,3,617.738
313,1,4,5,2737.08,22476.4,28,-325,77414,1,182.483
314,1,1,5,2847.63,22522.7,23,-303,77801.8,11,390
315,1,1,5,3352.76,22319.6,26,-314,77533.3,6,523.927
316,1,3,5,2848.1,21880,31,-330,77003.1,1,67.082
317,1,4,5,1183.77,21438.2,16,-289,76967.4,2,999.05
318,1,3,5,134.164,21524.1,16,-277,77057.7,2,997.246
319,1,3,5,1654.63,19733.4,30,-278,75292.2,10,212.132
320,1,1,5,1020,22022.7,18,-262,77550.7,5,436.807
321,1,1,5,1637.68,19659.2,33,-272,75193.8,12,516.14
322,1,2,5,268.328,20478.6,29,-254,75962.1,6,1068.27
323,1,5,2,553.173,3876.04,-32,-282,87624.9,1,968.401
324,1,1,2,1018.68,6130.58,-24,-269,85436.4,3,700.357
329,1,1,2,931.451,12532.5,-31,-276,81977,2,1440
330,1,1,2,591.693,13009.9,-33,-274,81291,2,1639.33
331,1,1,2,1260.36,12514.4,-31,-274,82412.6,3,360
332,1,5,1,0,14312.8,0,-274,79877.3,0,1410.32
333,1,3,1,484.665,14064.7,-39,-277,79862,2,1673.56
334,1,4,2,268.328,13463.8,-36,-274,80857.3,2,1889.05
335,1,2,2,2250,13564,-23,-273,80210.5,1,1994.49
336,1,4,2,1501.2,14201.9,-26,-275,79557.5,3,2002.6
337,1,1,2,600,14315.7,-31,-278,79478.1,4,2185.06
338,1,4,2,593.97,15455.7,-42,-278,78311.9,12,1198.87
339,1,3,2,550.727,14836.1,-37,-265,79301.5,7,516.14
340,1,3,2,1206.73,14438.1,-22,-271,79442.2,5,742.159
341,1,3,2,757.166,16225.3,-12,-272,77946.1,6,915.86
342,1,3,5,920.272,16401.5,12,-267,78276.2,3,1477.33
343,1,4,2,323.11,15379.8,-12,-262,79226.8,40,1336.6
344,1,2,5,4136.19,18946.8,25,-270,76802.9,3,1385.21
345,1,2,5,3293.17,17516.6,9,-265,78262.1,2,216.333
346,1,2,5,3380.96,18727.4,22,-274,76468.2,1,384.187
347,1,2,5,4290.1,20716.6,20,-278,75416.3,2,2853.79
348,1,2,5,4429.96,20177,25,-276,75724.2,3,2235.75
349,1,2,5,4985.78,20096.8,17,-271,76333.3,6,2286.5
350,1,2,5,4590.88,22986.9,26,-280,74840.9,20,1922.11
351,1,2,5,4740.09,23125.7,25,-280,74681.1,20,1875.42
352,1,2,5,4476.44,22752.8,24,-278,74992.2,17,2070.22
353,1,2,5,4034.08,22374.4,47,-286,74773.8,7,885.889
354,1,4,5,2502.98,22352.3,20,-265,76787.1,3,256.32
355,1,2,5,4240.62,23107.6,43,-280,75117.2,2,582.495
356,1,3,5,1753.91,21475.1,40,-305,74902.9,4,641.327
357,1,3,5,1848.35,21064.8,43,-307,74458.7,6,697.782
358,1,3,5,1290.35,22434.6,28,-296,75938.6,11,1140.39
359,1,3,5,859.069,20376.9,26,-320,74090.2,20,543.323
360,1,4,5,120,19401.5,12,-332,73459.9,3,1552.19
361,1,4,5,268.328,20380.2,7,-332,74508.6,27,898.999
362,1,3,5,750,18561.8,28,-356,73368.2,15,366.197
363,1,3,5,84.8528,20294.8,13,-350,74895.8,17,1423.02
364,1,3,5,563.649,19743.3,22,-350,74322.7,21,956.713
365,1,2,5,1103.09,19020,26,-355,74204.6,19,785.175
366,1,2,5,2235.55,19904,33,-336,75217.2,9,283.019
367,1,2,5,1292.44,17992.4,32,-336,73280.1,9,618.466
368,1,1,5,2969.85,18406.8,44,-296,73915,7,670.82
369,1,1,5,2093.13,19594.6,33,-290,75129.3,9,408.044
370,1,1,5,2514.46,19274.2,40,-322,74655.1,2,499.299
371,1,2,5,1999.45,18379.7,44,-236,73864.8,6,1008.46
372,1,1,5,2804.16,18270,44,-258,73834.8,7,295.466
373,1,1,5,2613.96,18248.9,45,-248,73770.6,6,108.167
374,1,2,2,2780.95,7996.28,-17,-257,83490.7,4,1036.19
375,1,1,4,2190,6817.4,-18,-263,84687.3,2,240
376,1,1,4,1350,5982.73,-22,-269,85494.2,4,0
377,1,2,2,1544.34,7976.28,-17,-261,83693,5,632.851
378,1,1,2,1793.24,9335.79,-18,-258,82598.9,5,685.42
379,1,1,2,1717.35,7451.85,-20,-262,84127.9,5,878.237
380,1,1,2,1140.39,11040.7,-19,-253,81242.9,6,417.852
381,1,4,2,1106.35,10837.8,-21,-255,81398.4,5,488.365
382,1,1,2,725.603,9862.75,-33,-259,82496.4,3,182.483
383,1,4,1,216.333,16088.6,-40,-280,77748.2,1,1714.21
384,1,4,1,42.4264,15032.8,-36,-278,78804.3,4,1560.29
385,1,4,2,241.868,15464.7,-35,-280,78289,4,2334.99
386,1,2,5,2145.16,18121.7,15,-287,75783,1,1925.85
387,1,2,5,1021.76,16963.3,6,-281,77023.6,8,1449.03
388,1,1,2,1682.41,17917,-23,-292,75809.9,3,3333.78
389,1,2,5,2662.57,18640.2,20,-286,75392.8,0,1236.93
390,1,2,5,2736.59,18598.5,19,-284,75512.2,3,720
391,1,2,5,2919.26,18746.2,19,-283,75487,3,390
392,1,2,5,2954.81,20490.2,28,-283,74582,1,2213.71
393,1,3,5,3245,20112.9,28,-282,74871.9,1,1899.74
394,1,2,5,3354.91,20170.2,28,-281,74974.3,1,1863.87
395,1,3,5,2789.19,22785.5,28,-288,73449.6,4,4334.25
396,1,3,5,3617.96,21494.5,24,-281,74639,2,3459.51
397,1,3,5,4020.11,20922.4,21,-279,75156.3,5,2922.5
398,1,2,5,4175.28,22007.3,8,-281,74721.9,13,3654.71
399,1,2,5,3529.43,23166.9,24,-287,73423,4,3212.1
400,1,3,5,3168.09,22904,24,-288,73573.5,6,3850.88
401,1,2,5,4615.32,20672.8,59,-297,72218.6,4,1158.02
402,1,2,5,4484.87,20017.8,62,-298,71709.2,3,524.786
403,1,2,5,4877.84,20949.2,61,-296,72873.4,1,573.149
404,1,2,5,2518.03,18498,61,-309,71351,7,361.248
405,1,2,5,1959.21,18905.6,51,-312,72091.2,3,1235.48
406,1,3,5,3618.58,21228.2,55,-297,73820.5,3,1020
407,1,4,5,60,18136.5,17,-329,72094,2,2655.8
408,1,4,5,150,17043.2,21,-325,71005.9,8,2874.53
409,1,3,5,937.71,19763.3,27,-320,73398.9,18,1235.84
410,1,3,5,295.466,16022.2,25,-325,70586.9,18,1444.99
411,1,3,5,218.403,16509.4,24,-332,71141.4,4,973.499
412,1,3,5,1597.62,18127.8,37,-348,72766.4,7,829.759
413,1,4,5,474.342,16341.4,28,-312,71654,2,1956.45
414,1,3,5,256.32,15694.6,34,-306,70948.6,11,1597.62
